 Rank 	 Player Name 	Team 	 Matchup 	Best Rank 	 Worst Rank 	 Avg Rank 	 Std Dev 	
134	Devin Funchess	WR66	CAR	  vs.  HOU	94	237	125.9014084507	24.800133421709		
135	Owen Daniels	TE20	FA		101	221	133.90526315789	13.348821106403		
136	Terrance West	RB50	BAL	  at  OAK	74	156	134.08219178082	14.755313344976		
137	Andre Roberts	WR67	WAS	  vs.  STL	93	191	132.11475409836	19.491989410243		
138	Rishard Matthews	WR68	TEN	  at  CLE	96	148	131.921875	14.541218019285		
139	Stedman Bailey	WR69	LA	  	92	148	130.07142857143	16.154231138419		
140	Richard Rodgers	TE21	GB	  vs.  SEA	106	149	138.74468085106	8.5700321137122		
141	Coby Fleener	TE22	NO	  vs.  TB	68	217	139.0119047619	14.144234941706		
142	Matt Jones	RB51	WAS	  vs.  STL	69	202	138.36842105263	15.469700525512		
143	Leonard Hankerson	WR70	BUF	  vs.  NE	104	180	132.27450980392	14.939194969219		
144	Delanie Walker	TE23	TEN	  at  CLE	86	141	114.31818181818	12.654091554033		
145	Ted Ginn	WR71	CAR	  vs.  HOU	96	148	132.15789473684	15.140615150872		
146	Greg Jennings	WR72	FA		89	165	132	15.252772168479		
147	Andre Williams	RB52	NYG	  vs.  ATL	109	163	140.05172413793	11.191780256206		
148	Brian Quick	WR73	LA	  	94	147	131.93939393939	15.273148142349		
149	Crockett Gillmore	TE24	BAL	  at  OAK	98	150	137.84444444444	12.504142523457		
150	Andrew Hawkins	WR74	CLE	  vs.  TEN	87	153	131.34482758621	16.690438853074		
151	Rashad Greene	WR75	JAC	  vs.  MIA	101	206	135.54838709677	18.430057339237		
152	Brian Hartline	WR76	CLE	  vs.  TEN	96	176	132.15384615385	18.373669094014		
153	Kenny Stills	WR77	MIA	  at  JAC	100	183	136.76666666667	17.623248533936		
154	Scott Chandler	TE25	FA		107	252	146.63461538462	23.412709275547		
155	Darren Fells	TE26	ARI	  at  CHI	118	157	139.675	7.6039052466479		
156	Gavin Escobar	TE27	DAL	  at  PHI	110	194	142.55813953488	13.920542500758		
157	Harry Douglas	WR78	TEN	  at  CLE	94	148	132.8	13.769531582447		
158	Javorius Allen	RB53	BAL	  at  OAK	95	174	131.40909090909	17.280201732064		
159	Darrius Heyward-Bey	WR79	PIT	  vs.  SF	80	148	124.375	18.241008058767		
160	Knile Davis	RB54	KC	  vs.  DEN	103	195	139.83333333333	16.921551019008		
161	Denard Robinson	RB55	JAC	  vs.  MIA	93	173	139.90322580645	14.514408500187		
162	Travis Benjamin	WR80	SD	  at  CIN	105	184	136.68181818182	14.744448457999		
163	Benjamin Watson	TE28	BAL	  at  OAK	115	171	143.36842105263	9.8952967366788		
164	Lorenzo Taliaferro	RB56	BAL	  at  OAK	55	161	129.85714285714	26.103795955096		
165	Charles Sims	RB57	TB	  at  NO	119	184	141.76923076923	14.529301143413		
166	Jonathan Grimes	RB58	HOU	  at  CAR	108	160	133.21428571429	13.148484819979		
167	Ryan Grant	WR81	WAS	  vs.  STL	98	198	135.09090909091	27.291205861145		
168	Devin Street	WR82	DAL	  at  PHI	97	190	138.25	27.249235463281		
169	Marlon Brown	WR83	BAL	  at  OAK	116	201	143.33333333333	29.457125152028		
170	Dwayne Bowe	WR84	FA		98	244	132.16666666667	51.582996767884		
171	Philly Brown	WR85	CAR	  vs.  HOU	112	200	145.625	23.237563878341		
172	Preston Parker	WR86	FA		120	189	137.3	19.514353691578		
173	Ty Montgomery	WR87	GB	  vs.  SEA	120	147	134	8.9442719099992		
174	Robert Woods	WR88	BUF	  vs.  NE	117	168	138.83333333333	14.661931053658		
175	Jarius Wright	WR89	MIN	  vs.  DET	90	167	133.875	24.806438176409		
176	Fred Jackson	RB59	FA		109	214	147	27.334349574604		
177	Josh Robinson	RB60	IND	  vs.  NYJ	119	208	149.27272727273	26.897417615455		
178	Mike Tolbert	RB61	CAR	  vs.  HOU	76	248	174.83333333333	67.256763393894		
179	Louis Murphy	WR90	TB	  at  NO	92	218	135.33333333333	58.476966025569		
180	Mohamed Sanu	WR91	ATL	  at  NYG	95	188	146	27.622454633866		
181	Todd Gurley	RB62	LA	  	42	196	119	77		
182	Taylor Gabriel	WR92	CLE	  vs.  TEN	114	184	146.33333333333	21.452790546272		
183	Chris Owusu	WR93	FA		120	171	142.28571428571	18.029454359181		
184	Jordan Norwood	WR94	FA		114	177	144.33333333333	24.783507060588		
185	Jerick McKinnon	RB63	MIN	  vs.  DET	115	226	158.3	33.731439340769		
186	Jaelen Strong	WR95	HOU	  at  CAR	122	144	133.8	8.8634079224641		
187	Josh Hill	TE29	NO	  vs.  TB	137	220	150.46153846154	20.653237349572		
188	Justin Hunter	WR96	TEN	  at  CLE	129	158	144.45454545455	7.4998622576883		
189	Riley Cooper	WR97	FA		105	206	161.83333333333	37.069379397137		
190	Anthony Dixon	RB64	FA		119	228	169.57142857143	42.019917531901		
191	Dri Archer	RB65	NYJ	  at  IND	91	241	186.33333333333	67.652707919853		
192	Lance Kendricks	TE30	LA	  	137	157	147.08333333333	5.1713688280334		
193	Theo Riddick	RB66	DET	  at  MIN	124	210	159.28571428571	31.152685212006		
194	Chris Polk	RB67	FA		134	211	154.42857142857	25.303061039313		
195	Jarryd Hayne	RB68	SF	  at  PIT	124	201	159.14285714286	26.755125391107		
196	Marcedes Lewis	TE31	JAC	  vs.  MIA	132	225	157.28571428571	29.143557414556		
197	Albert Wilson	WR98	KC	  vs.  DEN	132	192	155.5	21.156165374031		
198	Anthony Fasano	TE32	TEN	  at  CLE	133	183	151.66666666667	13.474255287605		
199	Mychal Rivera	TE33	OAK	  vs.  BAL	135	233	183.33333333333	44.55209185761		
200	Reggie Bush	RB69	FA		118	150	134	16		
201	Marcel Reece	RB70	OAK	  vs.  BAL	123	190	161.8	24.669008897805		
202	Damien Williams	RB71	MIA	  at  JAC	135	250	189.5	49.412380364979		
203	Chase Coffman	TE34	FA		132	140	136	4		
204	Jacob Tamme	TE35	ATL	  at  NYG	140	193	157.57142857143	18.196209517818		
205	Cody Latimer	WR99	DEN	  at  KC	130	254	195.66666666667	50.887675871035		
206	Dexter McCluster	RB72	TEN	  at  CLE	134	263	222.25	52.504166501336		
207	Mike Davis	RB73	SF	  at  PIT	134	176	155	21		
208	Gary Barnidge	TE36	CLE	  vs.  TEN	143	161	149.25	7.1545440106271		
209	Jeff Cumberland	TE37	FA		137	222	176.75	34.97409755805		
210	Garrett Graham	TE38	DEN	  at  KC	138	254	193.25	50.504331497407		
211	Brandon Bolden	RB74	NE	  at  BUF	139	271	213	55.063599591745		
212	Devin Smith	WR100	NYJ	  at  IND	139	194	166.5	27.5		
213	Roy Helu	RB75	OAK	  vs.  BAL	139	178	158.5	19.5		
214	Brent Celek	TE39	PHI	  vs.  DAL	144	215	168.33333333333	33.008416435139		
215	Branden Oliver	RB76	SD	  at  CIN	141	248	213	42.124814539651		
216	Maxx Williams	TE40	BAL	  at  OAK	141	235	195.25	34.542546229252		
217	Marqise Lee	WR101	JAC	  vs.  MIA	146	188	173.33333333333	19.344824171396		
218	Garrett Celek	TE41	SF	  at  PIT	147	187	169.33333333333	16.659998666133		
219	Seth Roberts	WR102	OAK	  vs.  BAL	153	196	168.33333333333	19.601587237319		
220	Josh Huff	WR103	PHI	  vs.  DAL	154	223	186.33333333333	28.335294049805		
221	J.J. Nelson	WR104	ARI	  at  CHI	160	204	182	22		
222	Aaron Dobson	WR105	NE	  at  BUF	167	204	186.66666666667	15.195028426722		
223	Justin Hardy	WR106	ATL	  at  NYG	173	205	189	16		
224	Fozzy Whittaker	RB77	CAR	  vs.  HOU	174	239	207.66666666667	26.587382136812		
225	Jamison Crowder	WR107	WAS	  vs.  STL	175	216	190.66666666667	18.080068829761		
226	Matt Asiata	RB78	MIN	  vs.  DET	177	209	193	16		
227	Quinton Patton	WR108	SF	  at  PIT	181	191	186	5		
228	C.J. Fiedorowicz	TE42	HOU	  at  CAR	183	239	213.33333333333	23.098821518761		
229	Miles Austin	WR109	FA		185	242	215.66666666667	23.471022323045		
230	Jim Dray	TE43	BUF	  vs.  NE	185	217	202.33333333333	13.199326582149		
231	Dwayne Harris	WR110	NYG	  vs.  ATL	188	261	228.66666666667	30.379086373505		
232	Kyle Juszczyk	RB79	BAL	  at  OAK	189	203	198	6.3770421565697		
